%1 is too long. The maximum length is %2 characters.,%1 es demasiado largo. La longitud máxima es de %2 caracteres.
(Re)Create Webhooks,Re(crear) webhooks
Connect with Purchase Orders,Conectar con pedidos de compra
Core error occurred during TreviPay payment %1. Please check the exception log for details.,Se ha producido un código de error durante el pago con TreviPay %1. Consulte el registro de excepciones para obtener más información.
Could not assign a unique Client Reference ID to the Customer.,No de pudo asignar al cliente una identificación de referencia de cliente única.
"Could not save an invoice, see error log for details",No se ha podido guardar una factura. Consulte el registro de errores para obtener más información.
Created Webhooks,Webhooks creados
Credit Information,Información sobre crédito
CreditMemo not found,CreditMemo no encontrado
Currency,Moneda
Customer does not have the buyer ID assigned.,El cliente no tiene el Id. de comprador asignado.
Customer redirected to the TreviPay credit application form.,Se redirigió al cliente al formulario de aplicación de crédito de TreviPay.
Debug,Depurar
Delete Webhooks,Eliminar webhooks
Direct Charge,Cargo directo
Easy Checkout,Finalización de compra fácil
Enabled,Activado
Error occurred during generating uuid,Se ha producido un error al generar el uuid
Fast Approval,Aprobación rápida
Features,Características
Flexible Terms,Términos flexibles
"Hold on! You currently have insufficient credit, for this purchase. No worries, please visit %1 to request an increase to your credit line.","¡Espere! Actualmente no tiene crédito suficiente para esta compra. No se preocupe, visite %1 para solicitar un aumento de su línea de crédito."
How it works,Cómo funciona
Invalid amount for a refund.,Importe no válido para un reembolso.
Invalid amount for a refund. Refund amount can't be higher than the paid amount.,Importe no válido para un reembolso. El importe de reembolso no puede ser más alto que el importe pagado.
Invoice not found,Factura no encontrada
TreviPay,TreviPay
TreviPay authorized amount of %1.,TreviPay autorizó el importe de %1
TreviPay captured amount of %1.,InvoideMe capturó el importe de %1.
TreviPay payment %1 error: %2,Error del pago con TreviPay %1: %2
TreviPay payment method is currently not available to this customer as the customer is not registered in TreviPay yet.,"En este momento el método de pago de TreviPay no está disponible para este cliente, porque el cliente todavía no está registrado en TreviPay."
"TreviPay payment method is currently not available to this customer as their TreviPay customer status is ""%1"".","El método de pago mediante TreviPay no está actualmente disponible para este cliente, ya que su estado TreviPay es ""%1""."
TreviPay payment method is currently not available to you. Please visit the TreviPay section to find more details.,En este momento el método de pago de %1 no está disponible para usted. Visite la sección %1 para encontrar más detalles.
TreviPay Portal,Portal %1
Invoicing made easy,La facturación ahora es más fácil
Invoicing Your Way,"La facturación, a su modo"
"Make sure the URL ends with '/' (slash), an example URL: https://app.b2b.credit/","Asegúrese de que la URL termine con '/' (barra inclinada), por ejemplo: https://app.b2b.credit/"
"Make sure to ""Save Config"" before using this button","Asegúrese de ""Guardar configuración"" antes de usar este botón"
Maximum Order Total,Total máximo de pedido
Minimum Order Total,Total mínimo de pedido
TreviPay TreviPayMagento,TreviPayMagento de TreviPay
TreviPay Support Number,Número de asistencia de TreviPay
New Order Status,Estado de pedido nuevo
Notes,Notas
"Oh no! Your TreviPay account is inactive. This can be for many reasons, please visit <a href=""%1"">%2</a> to resolve this matter.","¡Oh, no! Su cuenta de %3 está inactiva. Puede deberse a varias razones. Visite <a href=""%1"">%2</a> para resolver este problema."
Order has no payment method.,El pedido no tiene método de pago.
Order is not associated with the provided customer.,El pedido no está asociado con el cliente proporcionado.
Order payment method is not TreviPay.,El método de pago del pedido no es TreviPay.
Page not found.,Página no encontrada.
Partial invoice is not possible because a Gift Card had been used.,No se puede emitir una factura parcial porque se había utilizado una tarjeta de regalo.
Partial invoice is not possible because Store Credits had been used.,No se posible emitir una factura parcial porque se habían utilizado créditos de la tienda.
Payment Action,Acción de pago
Payment capturing error.,Error al capturar el pago.
Payment from Applicable Countries,Pago de países aplicables
Payment from Specific Countries,Pago de países específicos
Payment method is not enabled,El método de pago no está activado
Payment not found,Pago no encontrado
Payment refund error.,Error al reembolsar el pago.
Payment voiding error.,Error al anular el pago.
Payment voiding error. Received status %1,Error en la anulación de pago. Estado recibido %1
Pending TreviPay,TreviPay pendiente
Place Order,Hacer pedido
Please log in before using this payment method.,Inicie sesión antes de usar este método de pago.
Please note the TreviPay payment method was used for the edited order. After editing the order a totally new payment transaction will be created and as a Seller you will be charged with fees as for any payment transaction.,"Tenga en cuenta que se utilizó el método de pago TreviPay para el pedido editado. Después de editar el pedido, se creará una transacción de pago totalmente nueva y, como vendedor, se le cobrará una tarifa por cualquier transacción de pago."
authorization,preautorización
Authorization transaction is required to void.,Se requiere una transacción de preautorización para anular.
Authorized,Preautorizado
Program URL,URL del programa
Provide Business Info,Proporcionar información de la empresa
Purchase Order Number,Número de pedido de compra
Purchase Order number is invalid or does not match expected format,El número de pedido de compra no es válido ni coincide con el formato esperado
Purchase Order number is required,Se requiere el número de pedido de compra
Refund Offline,Reembolso fuera de línea
Refund Offline is not available,El reembolso fuera de línea no está disponible
Refunded shipping '%1' is higher than captured shipping '%2',"El envío reembolsado ""%1"" es superior al envío capturado ""%2"""
Refunded shipping '%1' is higher than invoiced shipping '%2',"El envío reembolsado ""%1"" es superior al envío facturado ""%2"""
Sandbox API Key,Clave API de entorno de prueba
Sandbox API URL,URL del API Sandbox
Sandbox Mode,Modo de entorno de prueba
Sandbox Program URL,URL del programa de entorno de prueba
Sandbox Seller ID,ID de
Seller ID,ID de vendedor
Sign In,Iniciar sesión
Something went wrong in the payment gateway.,Algo ha ido mal en la pasarela de pago.
"Sorry, your application has been cancelled. Please visit <a href=""%1"">%2</a> to resubmit.","Lo sentimos; su solicitud se ha cancelado. Visite <a href=""%1"">%2</a> para volver a enviarla."
"Sorry, your credit application has been denied. Please use another payment method for business purchases.","Lo sentimos, su solicitud de crédito se ha rechazado. Utilice otro método de pago para compras comerciales."
Sort Order,Orden de clasificación
Status,Estado
Status of the transaction not found.,Estado de la transacción no encontrado.
Status of the webhooks,Estado de los webhooks
Test exception,Probar excepción
The entity that was requested doesn't exist. Verify the entity and try again.,La entidad solicitada no existe. Compruebe la entidad e inténtelo de nuevo.
There was an error processing your request.,Se produjo un error al procesar su solicitud.
There was an error trying to apply for credit.,Se produjo un error al intentar solicitar un crédito.
Title,Título
Unsupported payment action '%1' detected.,"Detectada acción de pago no aceptada ""%1""."
Up to 45 Days to Pay,Hasta 45 días para pagar
View TreviPay Invoice,Ver factura de TreviPay
"Visit the <a href=""%1"">TreviPay Portal</a> to view your invoices, increase your credit line, or make a payment.","Visite el <a href=""%1"">Portal TreviPay</a> para ver sus facturas, incrementar su crédito en línea o hacer un pago."
"Visit the '%1' Portal to view your invoices, increase your credit line, or make a payment.","Visite el Portal '%1' para ver sus facturas, incrementar su crédito en línea o hacer un pago."
"We are currently reviewing your enrollment application for TreviPay. This process normally takes around 4 business hours to complete. If we have any questions or an approval, we will reach out to you via email.","En este momento estamos revisando su solicitud de inscripción para %1. Generalmente, este proceso demora alrededor de 4 horas hábiles en completarse. Si tenemos cualquier pregunta para la aprobación, nos comunicaremos con usted por correo electrónico."
We are not able to create a Credit Memo without an Invoice.,No podemos crear una nota de crédito sin una factura.
We are sorry! An error has occurred and we want to fix it. Please contact %1 at %2 or %3,Lo sentimos. Se ha producido un error y queremos arreglarlo. Contacte con %1 en %2 o %3
We are sorry! An error has occurred and we want to fix it. Please contact %1.,Lo sentimos. Se ha producido un error y queremos arreglarlo. Contacte con %1.
We are sorry! An error has occurred and we want to fix it. Please contact us at %1 or %2,Lo sentimos. Se ha producido un error y queremos arreglarlo. Contáctenos en %1 o %2
We are sorry! An error has occurred and we want to fix it. Please contact us.,"¡Lo sentimos! Se ha producido un error y queremos arreglarlo. Por favor, comuníquese con nosotros."
Webhooks created,Webhooks creados
Webhooks created but the module is disabled!,¡Se crearon los webhooks pero el módulo está desactivado!
Webhooks not created!,¡No se crearon los webhooks!
"Whoops! Your TreviPay account has been suspended. This is likely due to past due payments or needing a credit line increase. Please visit <a href=""%1"">%2</a> to resolve this matter.","¡Vaya! Su cuenta de %3 se ha suspendido. Probablemente se debe a pagos atrasados o a que necesita un aumento de la línea de crédito. Visite <a href=""%1"">%2</a> para resolver este problema."
You are not yet a registered TreviPay user. You will be redirected to the TreviPay credit application form after placing this order. Your order will be processed after approval of your TreviPay credit application and TreviPay user account is created.,Todavía no es un usuario registrado de %1. Después de hacer este pedido se lo redirigirá al formulario de solicitud de crédito después de hacer este pedido. Su pedido se procesará después de la aprobación de su solicitud de crédito de %1 y la creación de su cuenta de %1.
"You chose to withdraw your application. Change of mind? Visit <a href=""%1"">%2</a> to re-apply at any time.","Ha decidido retirar su solicitud. ¿Ha cambiado de idea? Visite <a href=""%1"">%2</a> para volver a solicitarlo en cualquier momento."
"You have been approved to make purchases on terms! To activate your TreviPay account, please visit <a href=""%1"">%2</a> to complete your setup.","Ha sido aceptado/a para hacer compras con condiciones. Para activar su cuenta de %3, visite <a href=""%1"">%2</a> para completar la configuración."
Zero Friction,Fricción cero
