%1 is too long. The maximum length is %2 characters.,%1 ist zu lang. Die maximale Länge beträgt %2 Zeichen.
(Re)Create Webhooks,Webhooks (neu) erstellen
Core error occurred during TreviPay payment %1. Please check the exception log for details.,Bei der TreviPay-Zahlung %1 ist ein Core-Error aufgetreten. Details entnehmen Sie bitte dem Ausnahmeprotokoll.
Could not assign a unique Client Reference ID to the Customer.,Konnte dem Kunden keine eindeutige Kundenreferenz-ID zuweisen.
"Could not save an invoice, see error log for details","Konnte eine Rechnung nicht speichern, siehe Fehlerprotokoll für Details"
Created Webhooks,Erstellte Webhooks
Credit Information,Kreiditinformationen
CreditMemo not found,CreditMemo nicht gefunden
Currency,Währung
Customer does not have the buyer ID assigned.,Dem Kunden wurde die Käufer-ID nicht zugewiesen.
Customer redirected to the TreviPay credit application form.,Kunde wurde zum Kreditantragsformular von TreviPay weitergeleitet.
Debug,Debuggen
Delete Webhooks,Webhooks löschen
Direct Charge,Direktbelastung
Easy Checkout,Einfache Kaufabwicklung
Enabled,Aktiviert
Error occurred during generating uuid,Fehler bei der Generierung eines uuid aufgetreten
Fast Approval,Schnelle Genehmigung
Features,Funktionen
Flexible Terms,Flexible Konditionen
"Hold on! You currently have insufficient credit, for this purchase. No worries, please visit %1 to request an increase to your credit line.","Stopp! Sie haben derzeit nicht genügend Guthaben für diesen Kauf. Keine Sorge, besuchen Sie bitte %1, um eine Erhöhung Ihres Kreditrahmens zu beantragen."
How it works,Wie es funktioniert
Invalid amount for a refund.,Ungültiger Betrag für eine Rückerstattung.
Invalid amount for a refund. Refund amount can't be higher than the paid amount.,Ungültiger Betrag für eine Rückerstattung. Rückerstattungsbetrag kann nicht höher sein als der bezahlte Betrag.
Invoice not found,Rechnung nicht gefunden
TreviPay,TreviPay
TreviPay authorized amount of %1.,TreviPay hat den Betrag in Höhe von %1 genehmigt.
TreviPay captured amount of %1.,TreviPay hat den Betrag in Höhe von %1 erfasst.
TreviPay payment %1 error: %2,TreviPay-Zahlung %1 Fehler: %2
TreviPay payment method is currently not available to this customer as the customer is not registered in TreviPay yet.,"TreviPay-Zahlungsmethode steht diesem Kunden aktuell nicht zur Verfügung, da der Kunde nicht bei TreviPay registriert ist"
"TreviPay payment method is currently not available to this customer as their TreviPay customer status is ""%1"".","Die Zahlungsmethode TreviPay ist für diesen Kunden derzeit nicht verfügbar, da sein TreviPay-Status „%1“ ist."
TreviPay payment method is currently not available to you. Please visit the TreviPay section to find more details.,Die Zahlungsmethode %1 steht Ihnen derzeit nicht zur Verfügung. Bitte besuchen Sie den %1-Abschnitt für weitere Informationen.
TreviPay Portal,%1 Portal
Invoicing made easy,Rechnungslegung einfach gemacht
Invoicing Your Way,Rechnungsstellung nach Ihren Wünschen
"Make sure the URL ends with '/' (slash), an example URL: https://app.b2b.credit/","Stellen Sie sicher, dass die URL mit '/' (Schrägstrich) endet, eine Beispiel-URL: https://app.b2b.credit/"
"Make sure to ""Save Config"" before using this button","Wählen Sie unbedingt ""Save Config"", bevor Sie den Button klicken."
Maximum Order Total,Maximale Auftragssumme
Minimum Order Total,Minimale Auftragssumme
TreviPay TreviPayMagento,TreviPay TreviPayMagento
TreviPay Support Number,TreviPay-Kundendienstnummer
New Order Status,Neuer Auftragsstatus
Notes,Bemerkungen
"Oh no! Your TreviPay account is inactive. This can be for many reasons, please visit <a href=""%1"">%2</a> to resolve this matter.","Oh nein! Ihr %3-Konto ist inaktiv. Dies kann viele Gründe haben, bitte besuchen Sie <a href=""%1"">%2</a>, um diese Angelegenheit zu klären."
Order has no payment method.,Für die Bestellung wurde keine Zahlungsmethode gewählt.
Order is not associated with the provided customer.,Die Bestellung ist nicht mit dem angegebenen Kunden verknüpft.
Order payment method is not TreviPay.,Die Zahlungsmethode der Bestellung ist nicht TreviPay.
Page not found.,Seite nicht gefunden.
Partial invoice is not possible because a Gift Card had been used.,"Eine Teilrechnung ist nicht möglich, da eine Geschenkkarte verwendet wurde."
Partial invoice is not possible because Store Credits had been used.,"Eine Teilrechnung ist nicht möglich, da Shop-Credits verwendet wurden."
Payment Action,Zahlungsaktion
Payment capturing error.,Fehler bei der Zahlungserfassung.
Payment from Applicable Countries,Zahlungen aus den jeweiligen Ländern
Payment from Specific Countries,Zahlungen aus bestimmten Ländern
Payment method is not enabled,Die Zahlungsmethode ist nicht aktiviert
Payment not found,Zahlung nicht gefunden
Payment refund error.,Fehler bei der Rückerstattung der Zahlung.
Payment voiding error.,Fehler bei der Stornierung der Zahlung.
Payment voiding error. Received status %1,Fehler bei der Annullierung der Zahlung. Empfangener Status %1
Pending TreviPay,TreviPay ausstehend
Place Order,Bestellung aufgeben
Please log in before using this payment method.,"Bitte melden Sie sich an, um diese Zahlungsmethode zu verwenden."
Please note the TreviPay payment method was used for the edited order. After editing the order a totally new payment transaction will be created and as a Seller you will be charged with fees as for any payment transaction.,"Bitte beachten Sie, dass für den bearbeiteten Auftrag die Zahlungsmethode TreviPay genutzt wurde. Nach der Bearbeitung der Bestellung wird eine völlig neue Zahlungstransaktion erstellt, und als Verkäufer werden Ihnen wie bei jeder Zahlungstransaktion Gebühren in Rechnung gestellt."
authorization,Vorautorisierung
Authorization transaction is required to void.,"Eine Vorautorisierungstransaktion ist erforderlich, um zu annullieren."
Authorized,Vorautorisiert
Program URL,Programm-URL
Provide Business Info,Business-Infos zur Verfügung stellen
Purchase Order Number,Bestellnummer
Purchase Order number is invalid or does not match expected format,Die Bestellnummer ist ungültig oder entspricht nicht dem erwarteten Format
Purchase Order number is required,Die Bestellnummer ist erforderlich
Refund Offline,Offline erstatten
Refund Offline is not available,Offline-Rückerstattung ist nicht verfügbar
Refunded shipping '%1' is higher than captured shipping '%2',Rückerstatteter Versand '%1' ist höher als erfasster Versand '%2'.
Refunded shipping '%1' is higher than invoiced shipping '%2',Rückerstatteter Versand '%1' ist höher als in Rechnung gestellter Versand '%2'.
Sandbox API Key,Sandbox-API-Schlüssel
Sandbox API URL,Sandbox-API-URL
Sandbox Mode,Sandbox-Modus
Sandbox Program URL,Sandbox-Programm-URL
Sandbox Seller ID,Sandbox Verkäufer-ID
Seller ID,Verkäufer-ID
Sign In,Anmelden
Something went wrong in the payment gateway.,Im Zahlungs-Gateway ist irgendetwas schief gelaufen.
"Sorry, your application has been cancelled. Please visit <a href=""%1"">%2</a> to resubmit.","Es tut uns leid, Ihr Antrag wurde annulliert. Bitte besuchen Sie <a href=""%1"">%2</a>, um den Antrag erneut einzureichen."
"Sorry, your credit application has been denied. Please use another payment method for business purchases.","Es tut uns leid, Ihr Kreditantrag wurde abgelehnt. Bitte nutzen Sie eine andere Zahlungsmethode für gewerbliche Einkäufe."
Sort Order,Bestellung sortieren
Status,Status
Status of the transaction not found.,Status der Transaktion nicht gefunden.
Status of the webhooks,Status der Webhooks
Test exception,Test-Ausnahme
The entity that was requested doesn't exist. Verify the entity and try again.,"Die Entität, die angefordert wurde, existiert nicht. Verifizieren Sie die Entität und versuchen Sie es noch einmal."
There was an error processing your request.,Bei der Bearbeitung Ihrer Anfrage ist ein Fehler aufgetreten.
There was an error trying to apply for credit.,"Es gab einen Fehler beim Versuch, einen Kredit zu beantragen."
Title,Überschrift
Unsupported payment action '%1' detected.,Nicht unterstützte Zahlungsaktion '%1' entdeckt.
Up to 45 Days to Pay,Bis zu 45 Tage Zahlungsfrist
View TreviPay Invoice,TreviPay-Rechnung ansehen
"Visit the <a href=""%1"">TreviPay Portal</a> to view your invoices, increase your credit line, or make a payment.","Besuchen Sie das <a href=""%1"">TreviPay-Portal</a>, um Ihre Rechnungen einzusehen, Ihre Kreditlinie zu erhöhen oder eine Zahlung zu leisten."
"Visit the '%1' Portal to view your invoices, increase your credit line, or make a payment.","Besuchen Sie das '%1' Portal, um Ihre Rechnungen einzusehen, Ihre Kreditlinie zu erhöhen oder eine Zahlung zu leisten."
"We are currently reviewing your enrollment application for TreviPay. This process normally takes around 4 business hours to complete. If we have any questions or an approval, we will reach out to you via email.","Wir prüfen derzeit Ihren Anmeldeantrag für %1. Dieser Prozess dauert normalerweise etwa 4 Geschäftsstunden. Wenn wir Fragen oder eine Genehmigung haben, werden wir uns per E-Mail an Sie wenden."
We are not able to create a Credit Memo without an Invoice.,Ohne Rechnung können wir keine Gutschrift  erstellen.
We are sorry! An error has occurred and we want to fix it. Please contact %1 at %2 or %3,Es tut uns leid! Es ist ein Fehler aufgetreten und wir möchten ihn beheben. Bitte kontaktieren Sie %1 unter %2 oder %3
We are sorry! An error has occurred and we want to fix it. Please contact %1.,Es tut uns leid! Es ist ein Fehler aufgetreten und wir möchten ihn beheben. Bitte kontaktieren Sie %1.
We are sorry! An error has occurred and we want to fix it. Please contact us at %1 or %2,Es tut uns leid! Es ist ein Fehler aufgetreten und wir möchten ihn beheben. Bitte kontaktieren Sie uns unter %1 oder %2
We are sorry! An error has occurred and we want to fix it. Please contact us.,Es tut uns leid. Es ist ein Fehler aufgetreten und wir wollen ihn beheben. Bitte kontaktieren Sie uns.
Webhooks created,Webhooks erstellt
Webhooks created but the module is disabled!,"Webhooks erstellt, aber das Modul ist deaktiviert!"
Webhooks not created!,Webhooks nicht erstellt!
"Whoops! Your TreviPay account has been suspended. This is likely due to past due payments or needing a credit line increase. Please visit <a href=""%1"">%2</a> to resolve this matter.","Hoppla! Ihr %3-Konto wurde gesperrt. Das ist wahrscheinlich auf überfällige Zahlungen oder die Notwendigkeit einer Erhöhung des Kreditrahmens zurückzuführen. Bitte besuchen Sie <a href=""%1"">%2</a>, um diese Angelegenheit zu klären."
You are not yet a registered TreviPay user. You will be redirected to the TreviPay credit application form after placing this order. Your order will be processed after approval of your TreviPay credit application and TreviPay user account is created.,Sie sind noch kein registrierter %1 User. Sie werden nach dieser Bestellung zum %1 Kreditantragsformular umgeleitet. Ihre Bestellung wird nach der Genehmigung Ihres %1 Kreditantrags bearbeitet und das %1 Benutzerkonto wird erstellt.
"You chose to withdraw your application. Change of mind? Visit <a href=""%1"">%2</a> to re-apply at any time.","Sie haben sich dafür entschieden, Ihren Antrag zurückzuziehen. Haben Sie Ihre Meinung geändert? Besuchen Sie <a href=""%1"">%2</a>, um jederzeit erneut einen Antrag einzureichen."
"You have been approved to make purchases on terms! To activate your TreviPay account, please visit <a href=""%1"">%2</a> to complete your setup.","Es wurde Ihnen genehmigt, zu bestimmten Bedingungen Einkäufe zu tätigen! Um Ihr %3-Konto zu aktivieren, besuchen Sie bitte <a href=""%1"">%2</a>, um die Einrichtung abzuschließen."
Zero Friction,Reibungslosigkeit
